10000, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
30000, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
50000, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
70000, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
90000, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
110000, 0.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
130000, 32.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
150000, 32.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
170000, 32.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
190000, 32.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
210000, 32.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
230000, 32.000000, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
250000, 35.135742, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
270000, 35.135742, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
290000, 35.135742, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
310000, 35.135742, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
330000, 35.135742, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
350000, 35.135742, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
370000, 38.242188, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
390000, 38.242188, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
410000, 38.242188, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
430000, 38.242188, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
450000, 38.242188, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
470000, 38.242188, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
490000, 41.288086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
510000, 41.288086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
530000, 41.288086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
550000, 41.288086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
570000, 41.288086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
590000, 41.288086, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
610000, 44.245117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
630000, 44.245117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
650000, 44.245117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
670000, 44.245117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
690000, 44.245117, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0
710000, 44.245117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
730000, 47.084961, 1, 0, 1, 1, 0, 1, 1, 0, 1, 0
750000, 47.084961, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0
770000, 47.084961, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
790000, 47.084961, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
810000, 47.084961, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1
830000, 47.084961, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
850000, 49.777344, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
870000, 49.777344, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
890000, 49.777344, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
910000, 49.777344, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
930000, 49.777344, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0
950000, 49.777344, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
970000, 52.299805, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
990000, 52.299805, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
1010000, 52.299805, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
